,1st Flr SF,2nd Flr SF,3Ssn Porch,Bedroom AbvGr,Bldg Type,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Condition 1,Condition 2,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior 1st,Exterior 2nd,Fireplace Qu,Fireplaces,Foundation,Full Bath,Functional,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type,Garage Yr Blt,Gr Liv Area,Half Bath,Heating,Heating QC,House Style,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Config,Lot Frontage,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Mas Vnr Type,Mo Sold,Neighborhood,Open Porch SF,Overall Cond,Overall Qual,Paved Drive,Roof Matl,Roof Style,Sale Type,Screen Porch,Street,TotRms AbvGrd,Total Bsmt SF,Utilities,Wood Deck SF,Year Built,Year Remod/Add,Yr Sold,set,sf,target
0,725,754,0,3,1Fam,2,1,0.0,0.0,2,192.0,533.0,0.0,3,1,Y,RRAe,Norm,SBrkr,0,2,3,HdBoard,Plywood,0,0,CBlock,2,5,475.0,2.0,2,1,2,Attchd,1976.0,1479,1,GasA,3,2Story,1,3,Lvl,1,13517,CulDSac,68.36301950805768,1,0,60,RL,289.0,BrkFace,3,Sawyer,44,3,2,2,CompShg,Gable,WD ,0,Pave,2,725.0,4,0,1976,2005,2010,train,2204.0,130500.0
1,913,1209,0,4,1Fam,2,1,1.0,0.0,3,276.0,637.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,2,1,PConc,2,5,559.0,2.0,2,1,2,Attchd,1997.0,2122,1,GasA,3,2Story,1,3,Lvl,1,11492,CulDSac,43.0,1,0,60,RL,132.0,BrkFace,4,SawyerW,74,2,3,2,CompShg,Gable,WD ,0,Pave,3,913.0,4,0,1996,1997,2009,train,3035.0,220000.0
2,1057,0,0,3,1Fam,2,1,1.0,0.0,2,326.0,731.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,3,2,VinylSd,VinylSd,0,0,CBlock,1,5,246.0,1.0,2,1,2,Detchd,1953.0,1057,0,GasA,2,1Story,1,3,Lvl,1,7922,Inside,68.0,2,0,20,RL,0.0,None,1,NAmes,52,3,2,2,CompShg,Gable,WD ,0,Pave,2,1057.0,4,0,1953,2007,2010,train,2114.0,109000.0
3,744,700,0,3,1Fam,2,1,0.0,0.0,3,384.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,2,VinylSd,VinylSd,0,0,PConc,2,5,400.0,2.0,2,2,2,BuiltIn,2007.0,1444,1,GasA,3,2Story,1,2,Lvl,1,9802,Inside,73.0,2,0,60,RL,0.0,None,4,Timber,0,2,2,2,CompShg,Gable,WD ,0,Pave,3,384.0,4,100,2006,2007,2010,train,1828.0,174000.0
4,831,614,0,3,1Fam,3,1,0.0,0.0,1,676.0,0.0,0.0,1,1,Y,Norm,Norm,SBrkr,0,2,2,Wd Sdng,Plywood,0,0,PConc,2,5,484.0,2.0,2,1,2,Detchd,1957.0,1445,0,GasA,2,1.5Fin,1,2,Lvl,1,14235,Inside,82.0,1,0,50,RL,0.0,None,3,SawyerW,59,3,2,0,CompShg,Gable,WD ,0,Pave,2,676.0,4,0,1900,1993,2010,train,2121.0,138500.0
5,1888,0,0,2,1Fam,2,1,0.0,0.0,2,557.0,247.0,713.0,3,2,Y,PosA,Norm,SBrkr,0,2,3,BrkFace,Plywood,3,1,CBlock,2,4,578.0,2.0,2,2,2,Attchd,1966.0,1888,1,GasA,3,1Story,1,3,Lvl,1,16492,Corner,137.0,1,0,20,RL,0.0,None,6,NAmes,0,2,2,2,CompShg,Gable,WD ,0,Pave,2,1517.0,4,0,1966,2002,2010,train,3405.0,190000.0
6,1072,0,0,2,TwnhsE,2,4,1.0,0.0,3,0.0,547.0,0.0,3,1,Y,Norm,Norm,SBrkr,0,2,2,VinylSd,VinylSd,0,0,PConc,2,5,525.0,2.0,2,2,2,Basment,2005.0,1072,0,GasA,3,SFoyer,1,2,Lvl,1,3675,Inside,35.0,2,0,180,RM,82.0,BrkFace,6,Edwards,44,2,2,2,CompShg,Gable,New,0,Pave,2,547.0,4,0,2005,2006,2006,train,1619.0,140000.0
7,1188,0,0,3,1Fam,2,1,1.0,0.0,2,188.0,1000.0,0.0,2,1,Y,Norm,Norm,SBrkr,0,2,2,Plywood,Plywood,0,0,CBlock,1,5,531.0,2.0,2,1,2,Attchd,1959.0,1188,0,GasA,1,1Story,1,2,Lvl,1,12160,Inside,68.36301950805768,1,0,20,RL,180.0,BrkFace,5,NAmes,0,2,2,2,CompShg,Hip,COD,0,Pave,2,1188.0,4,0,1959,1959,2010,train,2376.0,142000.0
8,924,0,0,2,1Fam,2,1,0.0,0.0,2,632.0,292.0,0.0,2,1,Y,Artery,Norm,SBrkr,0,2,2,Wd Sdng,Wd Sdng,0,0,CBlock,1,5,420.0,1.0,2,1,2,Detchd,1952.0,924,0,GasA,2,1Story,1,2,Lvl,1,15783,Inside,68.36301950805768,2,0,20,RL,0.0,None,6,OldTown,324,2,2,2,CompShg,Gable,WD ,0,Pave,2,924.0,4,0,1952,1952,2007,train,1848.0,112500.0
9,1040,1040,0,5,1Fam,2,3,0.0,1.0,3,390.0,650.0,0.0,2,1,Y,Norm,Norm,SBrkr,0,2,2,Plywood,Plywood,2,2,PConc,1,5,504.0,2.0,2,1,2,Attchd,1969.0,2080,2,GasA,2,2Story,1,1,HLS,3,11606,Inside,70.0,1,0,60,RL,192.0,BrkFace,9,NAmes,0,2,2,2,CompShg,Gable,WD ,0,Pave,3,1040.0,4,335,1969,1969,2007,train,3120.0,135000.0
